ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
2322,114000058,2025-06-03,49,41,40,9,32,24,27
2323,114000057,2025-05-30,13,21,46,3,4,38,2
2324,114000056,2025-05-27,32,29,26,17,40,16,10
2325,114000055,2025-05-23,24,7,11,1,44,48,10
2326,114000054,2025-05-20,15,11,26,2,48,29,31
2327,114000053,2025-05-16,34,16,22,13,23,39,14
2328,114000052,2025-05-13,29,45,41,23,1,49,24
2329,114000051,2025-05-09,42,33,15,27,48,49,39
2330,114000050,2025-05-06,30,8,5,9,25,45,31
2331,114000049,2025-05-02,2,47,5,43,45,39,26
2332,114000048,2025-04-29,24,26,11,7,42,30,37
2333,114000047,2025-04-25,31,21,20,25,35,24,28
