ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
2322,114000058,2025-06-03,9,24,32,40,41,49,27
2323,114000057,2025-05-30,3,4,13,21,38,46,2
2324,114000056,2025-05-27,16,17,26,29,32,40,10
2325,114000055,2025-05-23,1,7,11,24,44,48,10
2326,114000054,2025-05-20,2,11,15,26,29,48,31
2327,114000053,2025-05-16,13,16,22,23,34,39,14
2328,114000052,2025-05-13,1,23,29,41,45,49,24
2329,114000051,2025-05-09,15,27,33,42,48,49,39
2330,114000050,2025-05-06,5,8,9,25,30,45,31
2331,114000049,2025-05-02,2,5,39,43,45,47,26
2332,114000048,2025-04-29,7,11,24,26,30,42,37
2333,114000047,2025-04-25,20,21,24,25,31,35,28
