ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
1,93002,2004-01-08,30,47,27,31,16,21,35
2,93003,2004-01-12,34,25,4,2,26,43,41
3,93004,2004-01-15,30,29,18,34,19,28,12
4,93005,2004-01-19,32,15,14,29,39,20,43
5,93006,2004-01-22,29,28,13,33,34,32,43
6,93007,2004-01-26,2,13,34,44,6,40,14
7,93008,2004-01-29,36,22,44,34,46,29,37
8,93009,2004-02-02,11,42,6,48,4,22,23
9,93010,2004-02-05,43,37,26,17,29,22,31
10,93011,2004-02-09,43,14,17,48,20,25,15
11,93012,2004-02-12,40,1,26,31,2,39,38
12,93013,2004-02-16,25,7,19,37,13,18,14
13,93014,2004-02-19,43,37,32,4,21,25,2
14,93015,2004-02-23,28,17,32,23,3,6,45
15,93016,2004-02-26,12,24,45,23,8,46,36
16,93017,2004-03-01,1,45,25,11,41,17,32
17,93018,2004-03-04,12,22,41,48,23,15,17
18,93019,2004-03-08,8,18,12,19,34,17,37
19,93020,2004-03-11,21,8,30,22,31,14,48
20,93021,2004-03-15,7,26,38,2,43,1,4
21,93022,2004-03-18,6,25,16,33,20,46,12
22,93023,2004-03-22,46,12,30,2,41,14,29
23,93024,2004-03-25,21,11,49,36,43,17,5
24,93025,2004-03-29,38,11,15,35,21,13,37
25,93026,2004-04-01,46,45,7,3,42,49,8
26,93027,2004-04-05,24,25,39,26,44,16,30
27,93028,2004-04-08,43,41,26,14,5,38,4
28,93029,2004-04-12,30,48,25,24,36,26,45
29,93030,2004-04-15,13,30,37,45,14,20,1
30,93031,2004-04-19,13,45,17,19,39,26,11
31,93032,2004-04-22,3,11,20,28,22,19,13
32,93033,2004-04-26,22,29,31,34,25,46,49
33,93034,2004-04-29,34,13,1,10,46,33,7
34,93035,2004-05-03,40,3,13,28,9,48,39
35,93036,2004-05-06,47,6,40,45,44,27,11
36,93037,2004-05-10,4,25,23,10,26,3,33
37,93038,2004-05-13,36,32,11,10,14,4,9
38,93039,2004-05-17,2,49,32,18,4,20,30
39,93040,2004-05-20,6,30,34,46,28,43,9
40,93041,2004-05-24,17,16,1,30,36,49,44
41,93042,2004-05-27,44,34,6,42,22,27,36
42,93043,2004-05-31,31,45,32,1,17,30,33
43,93044,2004-06-03,4,32,31,1,34,35,33
44,93045,2004-06-07,49,15,25,41,6,37,3
45,93046,2004-06-10,22,30,2,33,16,10,41
46,93047,2004-06-14,43,46,41,12,5,45,33
47,93048,2004-06-17,30,48,44,5,34,11,40
48,93049,2004-06-21,17,36,11,22,6,9,44
49,93050,2004-06-24,17,11,29,49,44,36,33
50,93051,2004-06-28,19,42,17,12,22,27,48
51,93052,2004-07-01,16,44,6,10,29,11,37
52,93053,2004-07-05,7,31,19,46,42,27,39
53,93054,2004-07-08,30,4,7,24,13,5,49
54,93055,2004-07-12,42,25,3,36,8,4,32
55,93056,2004-07-15,38,5,32,2,42,49,44
56,93057,2004-07-19,49,26,30,3,7,2,6
57,93058,2004-07-22,24,37,46,27,11,15,1
58,93059,2004-07-26,28,15,38,41,42,1,24
59,93060,2004-07-29,46,31,42,33,40,20,30
60,93061,2004-08-02,40,11,42,19,21,3,14
61,93062,2004-08-05,30,21,24,14,27,13,20
62,93063,2004-08-09,19,5,26,17,28,43,25
63,93064,2004-08-12,34,33,11,16,27,40,7
64,93065,2004-08-16,42,5,19,11,16,6,10
65,93066,2004-08-19,41,31,32,22,10,48,24
66,93067,2004-08-23,31,38,13,45,46,29,43
67,93068,2004-08-26,48,31,37,34,42,14,29
68,93069,2004-08-30,47,22,29,28,4,44,32
69,93070,2004-09-02,9,47,41,18,32,16,46
70,93071,2004-09-06,12,26,42,25,31,36,29
71,93072,2004-09-09,21,14,49,13,7,20,34
72,93073,2004-09-13,8,10,11,23,44,21,42
73,93074,2004-09-16,26,38,46,37,7,19,29
74,93075,2004-09-20,8,43,6,10,9,5,13
75,93076,2004-09-23,16,48,15,33,35,1,10
76,93077,2004-09-27,41,42,26,40,27,43,28
77,93078,2004-09-30,7,13,47,20,15,22,19
78,93079,2004-10-04,12,25,15,23,21,35,24
79,93080,2004-10-07,31,19,3,6,22,32,5
80,93081,2004-10-11,45,1,7,10,42,32,26
81,93082,2004-10-14,36,4,45,47,39,23,25
82,93083,2004-10-18,23,42,21,25,38,10,33
83,93084,2004-10-21,10,21,24,20,48,3,26
84,93085,2004-10-25,30,6,13,34,44,38,48
85,93086,2004-10-28,10,31,24,40,13,12,47
86,93087,2004-11-01,1,38,25,10,28,49,23
