ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
1,97001,2008-01-24,3,4,16,18,36,37,2
2,97002,2008-01-28,2,14,15,16,28,29,8
3,97003,2008-01-31,6,9,11,13,19,23,2
4,97004,2008-02-04,2,6,10,18,23,26,5
5,97005,2008-02-07,6,20,26,33,34,35,5
6,97006,2008-02-11,2,4,11,22,23,25,8
7,97007,2008-02-14,7,13,28,33,35,38,6
8,97008,2008-02-18,5,7,15,28,35,37,6
9,97009,2008-02-21,1,20,22,23,29,38,3
10,97010,2008-02-25,9,15,16,34,36,37,5
11,97011,2008-02-28,6,13,16,29,33,36,4
12,97012,2008-03-03,13,14,24,25,26,35,3
13,97013,2008-03-06,8,11,22,26,34,36,8
14,97014,2008-03-10,6,7,11,19,22,25,6
15,97015,2008-03-13,2,5,11,15,23,24,5
16,97016,2008-03-17,6,10,18,19,22,24,8
17,97017,2008-03-20,3,14,21,25,32,36,6
18,97018,2008-03-24,1,2,7,11,26,36,5
19,97019,2008-03-27,1,5,16,22,31,36,5
20,97020,2008-03-31,9,18,19,25,27,32,6
21,97021,2008-04-03,3,8,9,10,17,28,5
22,97022,2008-04-07,16,19,20,24,32,37,4
23,97023,2008-04-10,24,25,26,33,36,37,2
24,97024,2008-04-14,5,17,18,28,32,37,3
25,97025,2008-04-17,1,4,6,14,20,35,7
26,97026,2008-04-21,16,22,26,27,36,37,2
27,97027,2008-04-24,1,3,10,20,30,31,5
28,97028,2008-04-28,15,17,19,23,24,29,7
29,97029,2008-05-01,2,6,13,14,23,38,2
30,97030,2008-05-05,2,4,18,29,33,34,3
31,97031,2008-05-08,3,5,7,16,21,22,8
32,97032,2008-05-12,7,11,13,14,23,24,7
33,97033,2008-05-15,10,12,18,21,24,35,2
34,97034,2008-05-19,12,17,20,22,30,33,4
35,97035,2008-05-22,3,13,22,26,33,38,3
36,97036,2008-05-26,3,26,32,34,37,38,3
37,97037,2008-05-29,4,7,10,11,18,28,4
38,97038,2008-06-02,3,4,7,11,25,28,1
39,97039,2008-06-05,3,8,19,21,22,30,2
40,97040,2008-06-09,2,5,24,28,30,31,8
41,97041,2008-06-12,3,7,18,27,34,38,7
42,97042,2008-06-16,1,11,21,24,27,29,7
43,97043,2008-06-19,4,9,10,24,34,36,6
44,97044,2008-06-23,12,20,23,26,28,37,7
45,97045,2008-06-26,5,13,19,23,24,31,7
46,97046,2008-06-30,3,8,14,30,33,37,3
47,97047,2008-07-03,3,4,15,16,18,25,8
48,97048,2008-07-07,5,6,7,11,23,25,6
49,97049,2008-07-10,7,14,19,21,22,35,7
50,97050,2008-07-14,1,14,16,17,34,35,6
51,97051,2008-07-17,11,22,27,28,36,37,2
52,97052,2008-07-21,8,9,26,28,31,36,7
53,97053,2008-07-24,7,13,24,25,36,38,1
54,97054,2008-07-28,9,10,21,26,30,33,6
55,97055,2008-07-31,1,6,8,10,36,38,7
56,97056,2008-08-04,10,24,26,33,34,38,4
57,97057,2008-08-07,7,10,11,20,29,30,4
58,97058,2008-08-11,5,7,8,10,11,17,2
59,97059,2008-08-14,2,5,8,18,28,32,5
60,97060,2008-08-18,7,17,20,23,28,30,5
61,97061,2008-08-21,5,12,15,19,20,38,4
62,97062,2008-08-25,5,8,15,24,31,38,3
63,97063,2008-08-28,7,26,27,29,32,34,5
64,97064,2008-09-01,5,6,8,10,21,24,6
65,97065,2008-09-04,3,5,11,20,22,34,5
66,97066,2008-09-08,8,18,20,21,23,24,1
67,97067,2008-09-11,12,20,27,28,29,36,7
68,97068,2008-09-15,14,16,19,21,22,26,3
69,97069,2008-09-18,2,10,26,31,33,37,3
70,97070,2008-09-22,10,15,30,32,33,38,7
71,97071,2008-09-25,6,10,11,13,34,35,7
72,97072,2008-09-29,1,16,22,24,30,35,2
73,97073,2008-10-02,6,10,13,15,19,30,6
74,97074,2008-10-06,9,11,19,22,26,37,3
75,97075,2008-10-09,20,25,26,32,36,37,7
76,97076,2008-10-13,2,9,10,14,15,26,4
77,97077,2008-10-16,2,3,18,33,36,37,5
78,97078,2008-10-20,7,10,17,28,32,36,3
79,97079,2008-10-23,1,6,14,17,26,38,3
80,97080,2008-10-27,4,5,9,22,28,30,4
81,97081,2008-10-30,8,11,16,22,28,35,6
82,97082,2008-11-03,4,8,9,18,23,36,4
83,97083,2008-11-06,1,5,12,27,34,38,3
84,97084,2008-11-10,18,22,25,29,32,38,6
85,97085,2008-11-13,5,10,24,28,33,38,6
86,97086,2008-11-17,1,9,14,24,30,37,4
87,97087,2008-11-20,5,14,17,19,35,36,1
88,97088,2008-11-24,10,15,20,22,24,25,2
89,97089,2008-11-27,3,14,26,30,35,37,7
