ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
1,97001,2008-01-24,3,4,16,18,36,37,2
2,97002,2008-01-28,2,15,16,14,28,29,8
3,97003,2008-01-31,13,23,11,19,9,6,2
4,97004,2008-02-04,2,26,10,18,6,23,5
5,97005,2008-02-07,33,35,34,20,6,26,5
6,97006,2008-02-11,4,22,11,23,2,25,8
7,97007,2008-02-14,33,38,35,7,13,28,6
8,97008,2008-02-18,35,7,5,15,37,28,6
9,97009,2008-02-21,23,22,20,29,38,1,3
10,97010,2008-02-25,16,36,37,15,9,34,5
11,97011,2008-02-28,6,16,36,13,33,29,4
12,97012,2008-03-03,26,35,25,14,13,24,3
13,97013,2008-03-06,11,26,36,22,34,8,8
14,97014,2008-03-10,25,11,7,22,19,6,6
15,97015,2008-03-13,23,15,11,2,5,24,5
16,97016,2008-03-17,19,10,24,22,18,6,8
17,97017,2008-03-20,25,14,21,3,32,36,6
18,97018,2008-03-24,7,36,26,11,2,1,5
19,97019,2008-03-27,16,1,22,31,36,5,5
20,97020,2008-03-31,32,18,19,9,27,25,6
21,97021,2008-04-03,28,8,3,17,10,9,5
22,97022,2008-04-07,24,32,16,20,19,37,4
23,97023,2008-04-10,24,25,26,33,37,36,2
24,97024,2008-04-14,37,28,17,32,18,5,3
25,97025,2008-04-17,20,6,4,1,35,14,7
26,97026,2008-04-21,16,27,37,36,26,22,2
27,97027,2008-04-24,3,20,10,30,1,31,5
28,97028,2008-04-28,15,23,17,19,24,29,7
29,97029,2008-05-01,13,14,2,23,38,6,2
30,97030,2008-05-05,34,29,2,33,4,18,3
31,97031,2008-05-08,21,7,16,5,22,3,8
32,97032,2008-05-12,24,7,13,14,23,11,7
33,97033,2008-05-15,35,21,12,18,10,24,2
34,97034,2008-05-19,22,30,12,20,17,33,4
35,97035,2008-05-22,22,38,3,13,26,33,3
36,97036,2008-05-26,37,34,3,32,26,38,3
37,97037,2008-05-29,11,4,18,10,28,7,4
38,97038,2008-06-02,28,25,11,4,7,3,1
39,97039,2008-06-05,3,19,21,30,8,22,2
40,97040,2008-06-09,2,31,5,30,28,24,8
41,97041,2008-06-12,7,38,18,34,27,3,7
42,97042,2008-06-16,11,21,29,27,24,1,7
43,97043,2008-06-19,24,36,4,9,34,10,6
44,97044,2008-06-23,37,20,28,26,12,23,7
45,97045,2008-06-26,13,31,5,19,23,24,7
46,97046,2008-06-30,37,3,30,14,8,33,3
47,97047,2008-07-03,16,15,25,4,18,3,8
48,97048,2008-07-07,5,11,23,25,7,6,6
49,97049,2008-07-10,35,21,19,7,14,22,7
50,97050,2008-07-14,16,34,1,35,14,17,6
51,97051,2008-07-17,37,36,28,27,22,11,2
52,97052,2008-07-21,26,36,28,31,8,9,7
53,97053,2008-07-24,38,7,13,25,36,24,1
54,97054,2008-07-28,21,33,9,30,26,10,6
55,97055,2008-07-31,36,10,38,6,1,8,7
56,97056,2008-08-04,24,26,10,34,33,38,4
57,97057,2008-08-07,29,11,7,10,30,20,4
58,97058,2008-08-11,17,8,7,5,10,11,2
59,97059,2008-08-14,8,32,28,18,2,5,5
60,97060,2008-08-18,7,17,30,28,23,20,5
61,97061,2008-08-21,20,15,5,38,12,19,4
62,97062,2008-08-25,31,8,24,38,15,5,3
63,97063,2008-08-28,27,34,7,32,29,26,5
64,97064,2008-09-01,5,24,6,10,21,8,6
65,97065,2008-09-04,11,34,22,20,5,3,5
66,97066,2008-09-08,21,24,8,20,18,23,1
67,97067,2008-09-11,36,27,12,29,20,28,7
68,97068,2008-09-15,16,14,26,22,21,19,3
69,97069,2008-09-18,26,31,37,10,33,2,3
70,97070,2008-09-22,10,32,30,33,15,38,7
71,97071,2008-09-25,10,11,6,34,13,35,7
72,97072,2008-09-29,22,1,35,16,24,30,2
73,97073,2008-10-02,6,15,13,10,19,30,6
74,97074,2008-10-06,9,26,22,37,11,19,3
75,97075,2008-10-09,32,37,20,25,36,26,7
76,97076,2008-10-13,14,9,26,2,10,15,4
77,97077,2008-10-16,2,33,3,36,18,37,5
78,97078,2008-10-20,28,7,36,10,32,17,3
79,97079,2008-10-23,14,6,26,38,1,17,3
80,97080,2008-10-27,28,22,9,4,30,5,4
81,97081,2008-10-30,11,8,22,35,28,16,6
82,97082,2008-11-03,23,4,9,8,36,18,4
83,97083,2008-11-06,12,5,34,1,27,38,3
84,97084,2008-11-10,18,25,38,22,29,32,6
85,97085,2008-11-13,5,28,10,33,38,24,6
86,97086,2008-11-17,30,37,9,24,14,1,4
87,97087,2008-11-20,14,5,19,17,35,36,1
88,97088,2008-11-24,25,24,22,15,20,10,2
89,97089,2008-11-27,14,3,35,37,26,30,7
90,97090,2008-12-01,34,28,7,26,23,10,4
91,97091,2008-12-04,14,5,11,16,30,18,3
92,97092,2008-12-08,13,16,20,8,12,32,6
93,97093,2008-12-11,30,26,17,18,31,24,2
94,97094,2008-12-15,10,36,18,6,13,8,6
95,97095,2008-12-18,38,34,8,11,26,3,8
96,97096,2008-12-22,22,25,32,30,35,33,2
97,97097,2008-12-25,37,33,11,7,14,6,6
98,97098,2008-12-29,31,2,28,10,15,19,1
99,98001,2009-01-01,11,35,36,1,28,25,7
100,98002,2009-01-05,5,27,29,24,32,28,4
101,98003,2009-01-08,5,18,12,28,4,24,1
102,98004,2009-01-12,29,9,14,23,36,13,8
103,98005,2009-01-15,3,37,28,29,17,15,4
104,98006,2009-01-19,3,4,31,1,12,21,8
105,98007,2009-01-22,7,23,24,10,35,11,8
106,98008,2009-01-26,6,18,29,17,2,34,5
107,98009,2009-01-29,28,23,16,15,7,4,7
108,98010,2009-02-02,24,6,31,20,32,18,6
109,98011,2009-02-05,23,37,34,8,20,24,1
110,98012,2009-02-09,33,20,15,10,3,11,3
111,98013,2009-02-12,12,35,29,4,24,37,7
112,98014,2009-02-16,21,22,2,20,25,38,3
113,98015,2009-02-19,2,8,1,31,21,17,1
114,98016,2009-02-23,13,18,30,33,38,35,3
115,98017,2009-02-26,13,5,7,38,4,15,4
116,98018,2009-03-02,24,3,21,23,4,27,6
