ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
1812,114044,2025-06-02,01,05,16,18,21,31,02
1811,114043,2025-05-29,05,06,09,20,22,35,07
1810,114042,2025-05-26,13,14,17,23,24,37,06
1809,114041,2025-05-22,06,12,21,25,34,38,03
1808,114040,2025-05-19,10,15,22,27,29,37,03
1807,114039,2025-05-15,01,02,08,21,23,26,01
1806,114038,2025-05-12,02,08,26,34,35,38,04
1805,114037,2025-05-08,05,08,09,17,31,37,01
1804,114036,2025-05-05,07,08,09,11,19,35,04
1803,114035,2025-05-01,14,19,20,25,27,30,04
1802,114034,2025-04-28,02,14,17,19,29,32,05
1801,114033,2025-04-24,07,17,25,29,36,37,05
1800,114032,2025-04-21,05,09,20,29,35,36,08
1799,114031,2025-04-17,01,02,03,05,17,27,08
1798,114030,2025-04-14,01,05,09,20,29,38,02
1797,114029,2025-04-10,09,16,20,23,29,34,04
1796,114028,2025-04-07,13,21,24,25,31,36,04
1795,114027,2025-04-03,02,09,15,21,29,36,07
1794,114026,2025-03-31,02,06,07,09,12,20,04
1793,114025,2025-03-27,07,08,21,26,32,35,02
1792,114024,2025-03-24,03,17,22,24,25,33,03
1791,114023,2025-03-20,01,03,12,18,31,38,08
1790,114022,2025-03-17,01,02,03,12,18,28,04
1789,114021,2025-03-13,03,04,13,16,24,25,07
1788,114020,2025-03-10,13,16,17,20,27,31,02
1787,114019,2025-03-06,05,09,15,17,18,29,04
1786,114018,2025-03-03,12,15,20,23,26,32,05
1785,114017,2025-02-27,01,07,08,24,26,34,02
1784,114016,2025-02-24,07,15,16,23,24,35,02
1783,114015,2025-02-20,05,06,15,19,32,37,08
1782,114014,2025-02-17,01,17,21,23,31,34,01
1781,114013,2025-02-13,02,03,11,18,30,36,07
1780,114012,2025-02-10,06,07,08,13,14,24,04
1779,114011,2025-02-06,06,18,21,32,33,37,01
1778,114010,2025-02-03,04,07,15,31,33,36,06
1777,114009,2025-01-30,03,17,20,21,24,37,06
1776,114008,2025-01-27,02,10,15,18,25,35,08
1775,114007,2025-01-23,07,10,13,22,25,29,02
1774,114006,2025-01-20,08,11,13,27,29,37,02
1773,114005,2025-01-16,10,16,19,21,31,37,03
1772,114004,2025-01-13,03,13,22,26,28,33,02
1771,114003,2025-01-09,01,04,15,16,31,34,04
1770,114002,2025-01-06,04,14,17,29,31,38,07
1769,114001,2025-01-02,04,12,13,22,27,32,05
1768,113105,2024-12-30,06,08,12,16,23,31,01
1767,113104,2024-12-26,13,15,18,28,35,37,04
1766,113103,2024-12-23,15,16,18,25,34,37,04
1765,113102,2024-12-19,06,08,09,18,23,38,05
1764,113101,2024-12-16,03,19,27,30,36,37,07
1763,113100,2024-12-12,11,14,17,23,25,30,08
1762,113099,2024-12-09,13,18,26,30,31,36,05
1761,113098,2024-12-05,10,14,19,30,33,38,03
1760,113097,2024-12-02,08,21,22,36,37,38,05
1759,113096,2024-11-28,20,25,32,33,34,36,07
1758,113095,2024-11-25,07,14,19,25,33,37,03
1757,113094,2024-11-21,08,12,13,16,18,27,06
1756,113093,2024-11-18,08,09,13,21,36,38,08
1755,113092,2024-11-14,06,15,22,23,31,37,05
1754,113091,2024-11-11,03,08,09,17,28,33,02
1753,113090,2024-11-07,05,21,26,28,34,38,06
1752,113089,2024-11-04,01,07,14,20,22,23,01
1751,113088,2024-10-31,04,08,12,14,17,37,04
1750,113087,2024-10-28,09,11,23,33,35,37,02
1749,113086,2024-10-24,08,10,20,28,29,33,02
1748,113085,2024-10-21,04,06,13,19,23,38,07
1747,113084,2024-10-17,02,03,05,10,25,30,06
1746,113083,2024-10-14,06,10,22,23,25,27,08
1745,113082,2024-10-10,02,08,14,20,23,37,08
1744,113081,2024-10-07,09,21,22,27,29,36,05
1743,113080,2024-10-03,11,17,18,19,30,36,08
